slice,n,late_rate,average_precision
delivery_window=0-10d,2901,0.1989,0.2212
customer_state=SP,8921,0.0744,0.1573
payment_type=boleto,3526,0.0703,0.1103
payment_type=debit_card,691,0.0651,0.1084
payment_type=credit_card,14753,0.0483,0.0804
delivery_window=20-30d,5943,0.0244,0.0793
delivery_window=10-20d,6407,0.0418,0.0731
customer_state=RJ,2213,0.0434,0.0639
payment_type=voucher,324,0.0463,0.0604
delivery_window=30d+,4043,0.0077,0.049
customer_state=RS,939,0.0256,0.0359
customer_state=PR,978,0.0245,0.0346
customer_state=MG,2133,0.0159,0.0248
